@relation qqqq

@attribute first_person numeric
@attribute second_person numeric
@attribute third_person numeric
@attribute conjunct numeric
@attribute past_tense_verb numeric
@attribute furture_tense_verb numeric
@attribute commas numeric
@attribute colons_semicolons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avg_sentence_len numeric
@attribute avg_token_len numeric
@attribute count_sentences numeric
@attribute class {../qqqq.twt} 

@data
116,1,117,0,0,0,0,1,0,0,0,4,0,0,0,115,20,5,0,2,../qqqq.twt
103,0,103,0,0,0,0,2,0,0,0,9,0,0,0,103,19,10,0,1,../qqqq.twt
111,0,110,0,0,0,0,0,0,0,0,5,0,1,0,113,21,10,0,1,../qqqq.twt
116,0,117,0,0,0,0,1,0,0,0,5,0,1,0,117,23,11,0,1,../qqqq.twt
140,0,136,1,2,0,0,1,0,0,0,3,0,2,0,138,28,5,0,3,../qqqq.twt
182,0,188,0,0,0,1,0,0,0,0,6,0,1,2,188,42,11,0,2,../qqqq.twt
239,0,239,2,0,0,0,1,0,0,2,10,0,0,0,241,48,6,0,4,../qqqq.twt
147,0,149,0,0,0,0,0,0,0,0,9,0,0,0,150,31,15,0,1,../qqqq.twt
194,0,190,0,1,0,0,1,0,0,0,7,0,0,1,194,43,22,0,1,../qqqq.twt
129,0,131,0,0,0,0,1,0,0,0,4,0,0,0,131,26,12,0,1,../qqqq.twt
243,1,245,0,0,0,0,3,0,0,2,11,0,2,0,247,47,6,0,4,../qqqq.twt
100,0,101,0,0,0,0,2,0,0,1,5,0,0,0,101,19,5,0,2,../qqqq.twt
163,0,170,0,0,0,0,0,0,0,1,8,0,1,0,168,34,6,0,3,../qqqq.twt
127,0,131,0,0,1,0,2,0,0,0,5,0,0,1,131,23,5,0,2,../qqqq.twt
81,0,81,0,0,0,0,1,0,0,0,4,0,0,0,81,14,6,0,1,../qqqq.twt
77,0,75,0,0,0,0,1,0,0,0,3,0,0,0,77,16,7,0,1,../qqqq.twt
106,0,108,0,0,0,0,1,0,0,0,5,0,1,0,106,22,5,0,2,../qqqq.twt
139,0,140,0,0,0,0,3,0,0,0,7,0,0,0,143,28,13,0,1,../qqqq.twt
162,0,171,1,0,0,0,1,0,0,0,6,0,1,0,169,35,9,0,2,../qqqq.twt
100,0,100,0,0,0,0,1,0,0,0,6,0,0,0,99,19,5,0,2,../qqqq.twt
104,0,104,0,0,0,0,1,0,0,0,4,0,0,0,106,21,9,0,1,../qqqq.twt
179,2,176,0,0,0,0,1,0,0,1,5,0,0,2,177,36,6,0,3,../qqqq.twt
114,0,110,0,0,0,0,1,0,0,0,4,0,1,0,114,25,6,0,2,../qqqq.twt
122,0,115,0,0,0,0,1,0,0,0,5,0,1,0,123,27,14,0,1,../qqqq.twt
126,0,128,0,0,0,0,1,0,0,0,3,0,1,0,130,25,6,0,2,../qqqq.twt
113,0,115,0,0,0,0,0,0,0,0,6,0,0,0,115,19,5,0,2,../qqqq.twt
179,0,180,0,0,0,0,2,0,0,1,8,1,1,0,179,34,9,0,2,../qqqq.twt
104,0,102,0,1,0,0,1,0,0,0,2,0,2,0,104,18,3,0,3,../qqqq.twt
208,0,212,0,0,1,0,2,0,0,0,6,0,0,1,212,38,9,0,2,../qqqq.twt
48,0,48,0,0,0,0,1,0,0,0,2,0,0,0,48,8,3,0,1,../qqqq.twt
119,1,116,0,1,0,0,1,0,0,0,3,0,0,1,118,24,4,0,3,../qqqq.twt
64,0,64,0,0,0,0,1,0,0,0,4,0,0,0,63,12,5,0,1,../qqqq.twt
70,0,72,0,0,0,0,1,0,0,0,4,0,0,0,72,12,5,0,1,../qqqq.twt
134,0,131,0,0,0,0,1,0,0,0,3,1,2,0,133,30,8,0,2,../qqqq.twt
67,0,67,0,0,0,0,1,0,0,0,4,0,0,0,67,13,6,0,1,../qqqq.twt
166,0,167,0,0,0,0,2,0,0,0,8,0,1,0,169,29,8,0,2,../qqqq.twt
113,0,113,0,0,0,1,1,0,0,0,5,0,0,0,113,22,5,0,2,../qqqq.twt
229,3,237,0,0,0,0,1,0,0,1,5,0,2,0,233,47,5,0,5,../qqqq.twt
62,0,63,0,1,0,0,1,0,0,0,3,0,0,1,63,13,6,0,1,../qqqq.twt
112,0,109,1,0,0,0,1,0,0,1,2,0,0,0,112,23,5,0,2,../qqqq.twt
97,0,99,0,0,0,0,1,0,0,0,5,0,0,0,101,17,4,0,2,../qqqq.twt
143,0,147,0,0,0,0,1,0,0,0,10,0,1,0,147,25,4,0,3,../qqqq.twt
152,0,150,1,0,0,0,1,0,0,0,7,1,2,0,153,34,17,0,1,../qqqq.twt
56,0,54,0,0,0,0,1,0,0,0,2,0,0,0,56,10,2,0,2,../qqqq.twt
55,1,55,0,0,0,0,1,0,0,0,2,0,0,0,54,10,2,0,2,../qqqq.twt
65,0,65,0,0,0,0,1,0,0,0,2,0,0,0,65,10,4,0,1,../qqqq.twt
66,0,63,0,0,0,0,1,0,0,0,4,0,0,0,65,14,6,0,1,../qqqq.twt
174,0,169,0,1,0,1,1,0,0,0,6,2,1,0,174,33,17,0,1,../qqqq.twt
18,0,18,0,0,0,0,1,0,0,0,1,0,0,0,18,3,1,0,1,../qqqq.twt
200,0,195,0,1,0,0,1,0,0,0,8,0,0,0,200,40,7,0,3,../qqqq.twt
155,0,158,1,0,0,3,1,0,0,0,8,1,1,0,158,30,16,0,1,../qqqq.twt
174,1,177,0,0,0,0,1,0,0,0,5,0,0,1,176,37,9,0,2,../qqqq.twt
180,1,180,0,0,1,0,1,0,0,0,9,1,0,0,181,37,10,0,2,../qqqq.twt
93,0,97,0,0,0,0,1,0,0,0,5,0,0,0,97,20,5,0,2,../qqqq.twt
63,0,63,0,0,0,0,1,0,0,0,3,0,0,0,63,12,5,0,1,../qqqq.twt
147,1,152,0,0,0,0,1,0,0,0,8,1,0,0,150,29,7,0,2,../qqqq.twt
160,0,159,1,1,0,1,1,0,0,0,7,0,0,0,158,34,17,0,1,../qqqq.twt
4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,1,../qqqq.twt
50,0,48,0,0,0,0,1,0,0,0,1,0,0,1,49,8,1,0,5,../qqqq.twt
147,0,147,1,0,0,0,1,0,0,0,2,0,1,0,148,31,15,0,1,../qqqq.twt
171,0,175,1,0,0,0,1,0,0,0,8,3,2,0,172,32,4,0,5,../qqqq.twt
75,1,75,0,0,0,0,1,0,0,0,4,1,0,0,75,12,3,0,2,../qqqq.twt
133,0,138,0,0,0,0,1,0,0,0,4,0,1,1,140,31,15,0,1,../qqqq.twt
62,0,60,0,0,0,0,1,0,0,0,3,1,1,0,62,12,3,0,2,../qqqq.twt
143,0,143,0,0,0,0,1,0,0,0,4,1,0,0,145,28,4,0,3,../qqqq.twt
79,0,78,0,0,0,0,1,0,0,0,4,0,2,0,80,15,4,0,2,../qqqq.twt
31,0,31,0,0,0,0,0,0,0,0,1,0,0,0,31,5,2,0,1,../qqqq.twt
187,1,190,0,0,0,0,1,0,0,0,4,0,2,1,187,41,22,0,1,../qqqq.twt
128,0,130,0,0,0,0,1,0,0,1,5,0,1,0,133,28,5,0,3,../qqqq.twt
